alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
0,fan_in,True,3,50,62,WIRE,234.08,2010-01-01T00:00:00Z
2,fan_in,True,6,79,95,CREDIT,201.63,2010-01-01T00:00:00Z
1,fan_in,True,8,29,28,CREDIT,214.61,2010-01-01T00:00:00Z
0,fan_in,True,107,64,62,CREDIT,234.08,2010-01-08T00:00:00Z
1,fan_in,True,138,45,28,WIRE,214.61,2010-01-10T00:00:00Z
0,fan_in,True,214,63,62,CREDIT,234.08,2010-01-15T00:00:00Z
1,fan_in,True,268,37,28,WIRE,214.61,2010-01-19T00:00:00Z
0,fan_in,True,309,73,62,DEPOSIT,234.08,2010-01-22T00:00:00Z
1,fan_in,True,403,31,28,CREDIT,214.61,2010-01-28T00:00:00Z
0,fan_in,True,418,53,62,CREDIT,234.08,2010-01-29T00:00:00Z
0,fan_in,True,517,65,62,DEPOSIT,234.08,2010-02-05T00:00:00Z
1,fan_in,True,528,25,28,DEPOSIT,214.61,2010-02-06T00:00:00Z
2,fan_in,True,585,87,95,DEPOSIT,201.63,2010-02-10T00:00:00Z
0,fan_in,True,616,69,62,WIRE,234.08,2010-02-12T00:00:00Z
1,fan_in,True,658,39,28,DEPOSIT,214.61,2010-02-15T00:00:00Z
0,fan_in,True,722,55,62,CREDIT,234.08,2010-02-19T00:00:00Z
1,fan_in,True,799,38,28,WIRE,214.61,2010-02-24T00:00:00Z
0,fan_in,True,820,67,62,CREDIT,234.08,2010-02-26T00:00:00Z
0,fan_in,True,920,66,62,DEPOSIT,234.08,2010-03-05T00:00:00Z
1,fan_in,True,926,40,28,CREDIT,214.61,2010-03-05T00:00:00Z
0,fan_in,True,1031,57,62,WIRE,234.08,2010-03-12T00:00:00Z
1,fan_in,True,1056,27,28,CREDIT,214.61,2010-03-14T00:00:00Z
0,fan_in,True,1127,56,62,DEPOSIT,234.08,2010-03-19T00:00:00Z
2,fan_in,True,1167,92,95,DEPOSIT,201.63,2010-03-22T00:00:00Z
1,fan_in,True,1186,36,28,DEPOSIT,214.61,2010-03-23T00:00:00Z
0,fan_in,True,1235,52,62,DEPOSIT,234.08,2010-03-26T00:00:00Z
1,fan_in,True,1309,47,28,CREDIT,214.61,2010-04-01T00:00:00Z
0,fan_in,True,1328,59,62,CREDIT,234.08,2010-04-02T00:00:00Z
0,fan_in,True,1439,54,62,CREDIT,234.08,2010-04-09T00:00:00Z
1,fan_in,True,1453,44,28,CREDIT,214.61,2010-04-10T00:00:00Z
0,fan_in,True,1541,58,62,DEPOSIT,234.08,2010-04-16T00:00:00Z
1,fan_in,True,1572,42,28,WIRE,214.61,2010-04-19T00:00:00Z
0,fan_in,True,1642,51,62,DEPOSIT,234.08,2010-04-23T00:00:00Z
1,fan_in,True,1704,26,28,DEPOSIT,214.61,2010-04-28T00:00:00Z
0,fan_in,True,1736,61,62,DEPOSIT,234.08,2010-04-30T00:00:00Z
2,fan_in,True,1749,84,95,WIRE,201.63,2010-05-01T00:00:00Z
0,fan_in,True,1842,72,62,CREDIT,234.08,2010-05-07T00:00:00Z
1,fan_in,True,1843,32,28,CREDIT,214.61,2010-05-07T00:00:00Z
0,fan_in,True,1944,71,62,CREDIT,234.08,2010-05-14T00:00:00Z
1,fan_in,True,1974,34,28,CREDIT,214.61,2010-05-16T00:00:00Z
0,fan_in,True,2041,68,62,DEPOSIT,234.08,2010-05-21T00:00:00Z
2,fan_in,True,2328,82,95,DEPOSIT,201.63,2010-06-10T00:00:00Z
2,fan_in,True,2898,98,95,WIRE,201.63,2010-07-20T00:00:00Z
2,fan_in,True,3478,86,95,DEPOSIT,201.63,2010-08-29T00:00:00Z
2,fan_in,True,4049,93,95,CREDIT,201.63,2010-10-08T00:00:00Z
2,fan_in,True,4614,90,95,CREDIT,201.63,2010-11-17T00:00:00Z
2,fan_in,True,5188,83,95,CREDIT,201.63,2010-12-27T00:00:00Z
2,fan_in,True,5769,99,95,DEPOSIT,201.63,2011-02-05T00:00:00Z
2,fan_in,True,6348,81,95,CREDIT,201.63,2011-03-17T00:00:00Z
2,fan_in,True,6904,91,95,DEPOSIT,201.63,2011-04-26T00:00:00Z
2,fan_in,True,7479,76,95,DEPOSIT,201.63,2011-06-05T00:00:00Z
